UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2023,19,4384615,2241042,2143573,1640102,1555980,324208,316850,35190,33631,129785,128725,6545,6324,105212,102063,1736431,1649345,378081,369785,58241,56012,169173,166449,14253,13763,1681739,1608751,1155932,1092902,295354,289297,17980,17394,123963,123242,4632,4467,83878,81449,1233004,1167597,338953,332209,33019,32156,157155,155032,10413,10001,559303,534822,484170,463078,28854,27553,17210,16237,5822,5483,1913,1857,21334,20614,503427,481748,39128,37576,25222,23856,12018,11417,3840,3762
R,7,2023,20,4343892,2219541,2124351,1627189,1544086,320411,314711,34777,32756,130521,129110,6511,6323,100132,97365,1718560,1633060,371384,364417,57393,54888,167894,165246,14040,13400,1670875,1598968,1151584,1087976,292059,288150,17598,17041,124919,123686,4597,4509,80118,77606,1224917,1159139,333448,328358,32485,31610,156526,154101,10265,9889,548666,525383,475605,456110,28352,26561,17179,15715,5602,5424,1914,1814,20014,19759,493643,473921,37936,36059,24908,23278,11368,11145,3775,3511
R,7,2023,21,4322656,2206893,2115763,1616124,1536708,324282,319037,34470,32391,129437,127141,6284,6125,96296,94361,1703959,1622501,373078,367571,56839,54674,165098,161430,13477,13176,1666628,1599792,1147278,1088365,296341,292607,17763,17128,124014,122004,4472,4348,76760,75340,1217499,1157119,335908,331955,32387,31908,154033,150872,9954,9715,540265,515971,468846,448343,27941,26430,16707,15263,5423,5137,1812,1777,19536,19021,486460,465382,37170,35616,24452,22766,11065,10558,3523,3461
R,7,2023,22,4402354,2246218,2156136,1639541,1562303,331963,327133,34255,32823,138068,134927,6204,6139,96187,92811,1726957,1646719,380452,374370,57176,54856,173721,168891,13444,13198,1707227,1640986,1171297,1113943,304170,301090,17985,17478,132676,129905,4486,4305,76613,74265,1241031,1181679,343304,339514,33227,32232,162827,158661,9961,9662,538991,515150,468244,448360,27793,26043,16270,15345,5392,5022,1718,1834,19574,18546,485926,465040,37148,34856,23949,22624,10894,10230,3483,3536
R,7,2023,23,4405241,2245959,2159282,1637375,1560492,335917,331781,34667,33127,138568,136785,6322,6028,93110,91069,1722096,1642891,382793,378437,57720,55524,172291,169568,13336,12951,1713675,1650356,1174247,1117892,308808,305832,18454,17725,133245,131747,4576,4305,74345,72855,1242006,1183959,346758,343682,33857,32868,161865,159409,9958,9579,532284,508926,463128,442600,27109,25949,16213,15402,5323,5038,1746,1723,18765,18214,480090,458932,36035,34755,23863,22656,10426,10159,3378,3372
R,7,2023,24,4337029,2208200,2128829,1612612,1541538,327837,324662,33515,32628,137297,136101,6270,5854,90669,88046,1694899,1621214,373130,369332,56198,54866,170160,167627,13460,12618,1692425,1632713,1163776,1109980,301545,299403,18034,17555,132015,131081,4522,4188,72533,70506,1229729,1173886,338299,335827,33454,32780,159816,157572,10049,9384,515775,496116,448836,431558,26292,25259,15481,15073,5282,5020,1748,1666,18136,17540,465170,447328,34831,33505,22744,22086,10344,10055,3411,3234
R,7,2023,25,4330095,2201762,2128333,1604622,1535951,328735,325997,33355,32592,141298,142273,6264,5924,87488,85596,1683739,1613472,372126,368932,55740,54520,172812,172839,13071,12452,1693286,1639707,1161602,1110275,303194,301374,17789,17732,136196,137280,4595,4257,69910,68789,1224913,1172702,338391,336353,32983,32870,162868,163195,9872,9294,508476,488626,443020,425676,25541,24623,15566,14860,5102,4993,1669,1667,17578,16807,458826,440770,33735,32579,22757,21650,9944,9644,3199,3158
R,7,2023,26,4340084,2202223,2137861,1603733,1541506,327324,325903,33079,31931,146848,148932,6268,5886,84971,83703,1680596,1616918,368713,367352,55524,54160,177712,178888,12982,12500,1697577,1652899,1164111,1118604,302075,301868,17630,17330,141780,144022,4566,4294,67415,66781,1225222,1178799,335211,335352,32816,32582,167876,169374,9727,9401,504646,484962,439622,422902,25249,24035,15449,14601,5068,4910,1702,1592,17556,16922,455374,438119,33502,32000,22708,21578,9836,9514,3255,3099
R,7,2023,27,4368541,2217412,2151129,1615652,1549778,326855,326874,32978,31629,152301,155592,6379,6157,83247,81099,1690827,1622827,366737,366380,55608,53782,182650,184905,13016,12701,1715743,1667867,1177897,1127719,302034,303115,17725,17207,147338,150639,4623,4481,66126,64706,1237682,1186072,334004,334933,33092,32446,173093,175467,9784,9622,501669,483262,437755,422059,24821,23759,15253,14422,4963,4953,1756,1676,17121,16393,453145,436755,32733,31447,22516,21336,9557,9438,3232,3079
R,7,2023,28,4443648,2253574,2190074,1634913,1570899,342252,341076,33218,32264,155411,159869,6520,6476,81260,79490,1707725,1641968,380588,379638,56146,54518,185102,188519,13368,13124,1749371,1704392,1194562,1146880,316999,316724,18157,17636,150294,154976,4765,4742,64594,63434,1252409,1203632,347633,347703,34014,33182,175596,179240,10091,9969,504203,485682,440351,424019,25253,24352,15061,14628,5117,4893,1755,1734,16666,16056,455316,438336,32955,31935,22132,21336,9506,9279,3277,3155
